league,year,injury_type,injury_category,games_missed
NFL,2009.0,ankle,Lower Body,16.0
NFL,2009.0,hamstring knee,Lower Body,9.0
NFL,2009.0,chest finger,Upper Body,5.0
NFL,2009.0,rib ribs,Upper Body,2.0
NFL,2009.0,ankle concussion,Head,1.0
NFL,2009.0,ankle,Lower Body,4.0
NFL,2009.0,illness concussion,Illness,1.0
NFL,2009.0,knee ankle,Lower Body,7.0
NFL,2009.0,knee,Lower Body,3.0
NFL,2009.0,toe,Lower Body,2.0
NFL,2009.0,back ankle,Lower Body,5.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,knee illness pectoral,Illness,3.0
NFL,2009.0,shoulder knee,Lower Body,6.0
NFL,2009.0,groin,Lower Body,0.0
NFL,2009.0,achilles,Lower Body,16.0
NFL,2009.0,ankle,Lower Body,14.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,foot,Lower Body,15.0
NFL,2009.0,shoulder rib,Upper Body,0.0
NFL,2009.0,leg ankle knee,Lower Body,2.0
NFL,2009.0,illness shoulder concussion,Illness,1.0
NFL,2009.0,shoulder knee,Lower Body,3.0
NFL,2009.0,hand,Upper Body,0.0
NFL,2009.0,ankle knee,Lower Body,2.0
NFL,2009.0,knee,Lower Body,2.0
NFL,2009.0,groin,Lower Body,0.0
NFL,2009.0,ankle knee back ribs rib arm,Lower Body,1.0
NFL,2009.0,heel achilles toe,Lower Body,0.0
NFL,2009.0,thigh calf,Lower Body,2.0
NFL,2009.0,knee,Lower Body,5.0
NFL,2009.0,served,Other,0.0
NFL,2009.0,knee ankle,Lower Body,3.0
NFL,2009.0,knee toe,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,shoulder knee,Lower Body,3.0
NFL,2009.0,toe,Lower Body,0.0
NFL,2009.0,quadriceps,Lower Body,1.0
NFL,2009.0,knee undisclosed illness,Illness,0.0
NFL,2009.0,foot shoulder knee back,Lower Body,1.0
NFL,2009.0,ankle leg calf,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,rib neck illness,Illness,5.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,knee,Lower Body,2.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,ankle calf,Lower Body,3.0
NFL,2009.0,rib groin,Lower Body,2.0
NFL,2009.0,hamstring knee foot,Lower Body,1.0
NFL,2009.0,ankle,Lower Body,16.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,back,Upper Body,0.0
NFL,2009.0,forearm,Upper Body,0.0
NFL,2009.0,back foot calf,Lower Body,1.0
NFL,2009.0,groin,Lower Body,0.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,ankle,Lower Body,16.0
NFL,2009.0,ankle fibula,Lower Body,2.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,groin,Lower Body,4.0
NFL,2009.0,toe back ankle,Lower Body,3.0
NFL,2009.0,knee illness,Illness,2.0
NFL,2009.0,biceps foot,Lower Body,0.0
NFL,2009.0,back shoulder head concussion ribs lung,Head,1.0
NFL,2009.0,knee,Lower Body,14.0
NFL,2009.0,calf,Lower Body,3.0
NFL,2009.0,wrist,Upper Body,15.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,back back kidney kidney,Upper Body,8.0
NFL,2009.0,ankle knee hip,Lower Body,2.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,leg,Lower Body,9.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,ankle,Lower Body,4.0
NFL,2009.0,head chest,Head,0.0
NFL,2009.0,calf ankle,Lower Body,3.0
NFL,2009.0,illness shoulder,Illness,0.0
NFL,2009.0,neck,Upper Body,1.0
NFL,2009.0,hip knee,Lower Body,1.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,hip knee,Lower Body,1.0
NFL,2009.0,thigh quadriceps illness forearm,Illness,5.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,finger,Upper Body,1.0
NFL,2009.0,hip knee,Lower Body,0.0
NFL,2009.0,knee chest,Lower Body,0.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,foot illness knee,Illness,2.0
NFL,2009.0,foot,Lower Body,4.0
NFL,2009.0,ankle foot,Lower Body,0.0
NFL,2009.0,achilles,Lower Body,16.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,chest groin calf,Lower Body,2.0
NFL,2009.0,knee,Lower Body,2.0
NFL,2009.0,illness back,Illness,2.0
NFL,2009.0,ankle,Lower Body,3.0
NFL,2009.0,knee foot ankle,Lower Body,1.0
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,shoulder foot,Lower Body,0.0
NFL,2009.0,achilles,Lower Body,10.0
NFL,2009.0,ankle thumb,Lower Body,0.0
NFL,2009.0,illness,Illness,1.0
NFL,2009.0,neck chest knee,Lower Body,5.0
NFL,2009.0,calf,Lower Body,3.0
NFL,2009.0,ankle neck illness,Illness,1.0
NFL,2009.0,foot,Lower Body,16.0
NFL,2009.0,knee leg toe foot illness,Illness,3.0
NFL,2009.0,illness,Illness,1.0
